Percentage Growth rate,Proportion 
0,0.6000000
0.4354644377,0.5333333
0.1592968163,0.5833333
-0.09576611831,0.5666667
0.2628212042,0.6500000
0.02926630648,0.6166667
-0.1536639008,0.7000000
-0.02141128105,0.4833333
-0.02317819965,0.5172414
0.111738358,0.6500000
-0.001109537985,0.6666667
0.1925760831,0.7796610
0.008138712402,0.5333333
-0.06654963895,0.5166667
0.3663261377,0.5862069
-0.2972770575,0.5833333
-0.2192180951,0.5000000
-0.03471476001,0.6166667
0.07284562638,0.6333333
-0.1311751031,0.6333333
-0.1933919562,0.5833333
-0.2001052313,0.6206897
0.172928553,0.6500000
-0.7129287311,0.7833333
0.06294093708,0.7666667
-0.381491665,0.5833333
-0.02483284385,0.6666667
-0.2394721784,0.5000000
0.4698354503,0.6440678
0.3306838125,0.5833333
0.3353316952,0.6500000
-0.02888969278,0.6666667
-0.2236134924,0.6166667
0.1070325608,0.6500000
0.03121755232,0.7166667
-0.6151392701,0.6166667
0.2795175519,0.6333333
-0.05242579082,0.5166667
-0.5026776068,0.7333333
0.1981599065,0.5166667
-0.3409773446,0.6166667
0.1397952289,0.5500000
0.177891272,0.7586207
0.03568346168,0.6896552
0.2377216863,0.7457627
0.429125473,0.7500000
0.2574920364,0.5833333
0.134692044,0.6666667
-0.1813524971,0.5833333
0.005599544501,0.6666667
-0.1345296144,0.6333333
0.06811379653,0.5932203
0.503129755,0.7333333
-0.2310925817,0.4833333
0.122427474,0.6610169
-0.09920417319,0.6500000
0.05384667628,0.7166667
0.03359835961,0.7627119
-0.0353550864,0.8000000
-0.08241173661,0.6666667
0.1364863374,
