id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
37,1.12E+18,0,FALSE,0,0,19,1560,661,1,3926,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
38,1.12E+18,0,FALSE,0,0,3103,62,141,0,4078,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
39,1.12E+18,0,FALSE,1,0,3120,789,353,0,99941,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
40,1.12E+18,0,FALSE,1,0,680,1108,171,0,15900,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
41,1.12E+18,0,FALSE,1,0,433,4547,4691,0,202087,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE
42,1.12E+18,0,FALSE,0,0,27492,206,500,0,11489,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
43,1.12E+18,0,FALSE,0,0,52,207,57,0,17957,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
44,1.12E+18,0,FALSE,1,0,763,2291,2862,0,29779,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
45,1.12E+18,0,FALSE,1,0,17,5900,2679,0,31721,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
46,1.12E+18,0,FALSE,1,0,17,5900,2679,0,31721,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
47,1.12E+18,0,FALSE,1,1,737,132,95,0,1809,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
48,1.12E+18,0,FALSE,1,1,16277,576,1284,0,8584,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
49,1.12E+18,0,FALSE,0,0,17514,72,229,0,5434,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
50,1.12E+18,0,FALSE,1,0,64,310,1133,0,1051,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE
51,1.12E+18,0,FALSE,0,5,88638,9914,4352,3,112931,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
52,1.12E+18,0,FALSE,1,0,412,14075,6517,0,113665,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
53,1.12E+18,0,FALSE,1,0,9,1599,1740,0,13511,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
54,1.12E+18,0,FALSE,1,0,9,1599,1740,0,13511,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
55,1.12E+18,0,FALSE,1,1,31263,16385,179,0,22544,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
56,1.12E+18,0,FALSE,1,0,1052,223,990,0,220,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
57,1.12E+18,0,FALSE,1,6,2263,9,48,0,449,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
58,1.12E+18,0,FALSE,1,1,630,65,609,0,7870,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
59,1.12E+18,0,FALSE,1,13,31263,16385,179,3,22544,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
